                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     796                                      769                  8.0000000000000004E-001                  2.0000000000000000E-002                  2.0926414707639363E+008                  8.8347256268512011E+006                  6.3370917366961603E+003                  7.8403125339364599E-001                  7.3560646223265247E-001                 -1.7061456248447422E+000                  6.8755442142372536E-001                  4.2658405222009706E-005                  2.9183229977042241E-001                  1.5239357450749432E-005                  5.0086743087135828E-003                  9.3569218604782501E-003                  2.0994604783340890E-003                  1.0000000000000000E+000                  2.3648854535085797E-063                  6.9856026577181252E-001                  2.3127512972365551E-004                  2.8115001639618042E-001                  3.0908984907301682E-003                  1.4173802194904865E-003                  9.3603791180750118E-003                  2.0994604783340903E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992230548E-001                  7.3553305747959341E-001                  9.9999999985950716E-001                  7.3548549338842029E-001                  6.3168690683005134E+003                  4.0700582807457842E+007                  1.2754593591410322E+010                  7.8404735877113974E-001                  7.8404735877113974E-001                  1.0222462236684650E-047                  1.7630628218227459E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  6.6039893397106660E+015 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.0000000000000000E+000                 -1.3335446418157534E-001                  3.8021734101639910E+000                 -6.1383869530836312E+000                  5.4680997482819400E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       2                  9.9999999999900002E-001                 -1.3335516873514691E-001                  3.8028110801594890E+000                 -6.1339693389857555E+000                  5.4731567282983278E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       3                  9.9999999999775002E-001                 -1.3335604051892852E-001                  3.8035204147796580E+000                 -6.1291298370200415E+000                  5.4787074297856284E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002 
                                       4                  9.9999999999650002E-001                 -1.3335690264719241E-001                  3.8045855015990666E+000                 -6.1220024562464372E+000                  5.4869027528704430E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       5                  9.9999999999400013E-001                 -1.3335859885217924E-001                  3.8060121423998265E+000                 -6.1127410931863730E+000                  5.4975948614574754E+000                  7.0000000000000007E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                       6                  9.9999999999150002E-001                 -1.3336025928767137E-001                  3.8083439875048395E+000                 -6.0982480400070953E+000                  5.5144272179619076E+000                  7.0000000000000007E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                       7                  9.9999999998587497E-001                 -1.3336387271548616E-001                  3.8109268705279349E+000                 -6.0834135370026337E+000                  5.5318538165353219E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       8                  9.9999999998275013E-001                 -1.3336581280025486E-001                  3.8137561915123181E+000                 -6.0683268436769637E+000                  5.5497807152752436E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       9                  9.9999999997650002E-001                 -1.3336956056688423E-001                  3.8178433951599002E+000                 -6.0496255388553850E+000                  5.5725879562467764E+000                  7.0000000000000007E-001                  2.7999999999999992E-001                  2.0000000000000018E-002 
