                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters                          runtime_minutes                         spin_period_days                           spin_period_hr                      spin_period_minutes                 spin_orital_period_ratio                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                            xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                     244                                      476                  1.0411371836661611E+008                  6.6142345557079265E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999989893490937E-001                  1.5599869862431738E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999989893490937E-001                  1.5599869862431738E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1415140867963750E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1415140867963750E+001                 -2.1415140867963750E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4728175958793992E+000                 -7.0257155649898611E+000                 -9.3523413780110265E-001                  3.2742419478578064E+000                 -1.0313333871190665E-012                  4.5339988311035180E+000                  4.8553522377521363E-001                  1.3446452977375120E+001                  4.8553522377521363E-001                  4.5339988311035180E+000                  7.3740473337671464E-001                  8.7000425680503612E-001                  1.2480945159693051E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396999E-004                                        0                                        0                                        3                  3.7166666666666667E-003                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  1.0000000000000000E+000                  4.1137183666161173E+006                  9.9999999999999193E+002                  4.2084342551831537E+002                  2.1280514986493181E+001                  1.9672812487869923E-002                  1.9836637518157264E+001                  3.3101018769783872E+002                 -9.9414808775533414E-001                 -9.9772204692026245E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.1462047653141305E+050                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     246                                      476                  1.1133956800439242E+008                  6.5949309344628562E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999989893490937E-001                  1.6809881830638857E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999989893490937E-001                  1.6809881830638857E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1411385795483007E+001                 -9.8999999999999986E+001                 -3.7026689466669680E+001                 -2.1411385795483007E+001                 -2.1411385795483007E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4642525973688785E+000                 -7.0629009907638318E+000                 -9.3669685366704547E-001                  3.2771673795896921E+000                 -9.5112733642539937E-013                  4.5285063980243754E+000                  4.8797636566687835E-001                  1.3449027982856348E+001                  4.8797636566687835E-001                  4.5285063980243754E+000                  7.3704236333438722E-001                  8.7000425680503612E-001                  1.2480945159693051E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396999E-004                                        0                                        0                                        3                  1.0433333333333333E-002                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  3.0000000000000000E+000                  1.1339568004392423E+007                  9.9999999999999193E+002                  4.2084342551831537E+002                  2.1280514986493181E+001                  1.9672812487869923E-002                  1.9836637518157264E+001                  3.3101018769783872E+002                 -9.9416776400447771E-001                 -9.9777890579567063E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.1462047653141305E+050                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     248                                      476                  1.2053897108986738E+008                  6.6793595169128963E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999989893490937E-001                  1.8180517052942020E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999989893490937E-001                  1.8180517052942020E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1407030711141193E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1407030711141193E+001                 -2.1407030711141193E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4541406072881604E+000                 -7.1067260461979336E+000                 -9.3838540122266034E-001                  3.2805444747009220E+000                 -8.6513498505845174E-013                  4.5220065755880103E+000                  4.9078841049429650E-001                  1.3452007391590998E+001                  4.9078841049429650E-001                  4.5220065755880103E+000                  7.3663314257429713E-001                  8.7000425680503612E-001                  1.2480945159693051E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396999E-004                                        0                                        0                                        3                  1.7916666666666668E-002                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  5.0000000000000000E+000                  2.0538971089867383E+007                  9.9999999999999193E+002                  4.2084342551831537E+002                  2.1280514986493181E+001                  1.9672812487869923E-002                  1.9836637518157264E+001                  3.3101018769783872E+002                 -9.9419039585540725E-001                 -9.9778221926327182E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.1462047653141305E+050                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     250                                      476                  1.3096335939761099E+008                  6.7281956515819106E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999989893490937E-001                  1.9804677820449670E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999989893490937E-001                  1.9804677820449670E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1402566768482693E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1402566768482693E+001                 -2.1402566768482693E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4435252102587808E+000                 -7.1526291668128419E+000                 -9.4010616747135645E-001                  3.2839860071983140E+000                 -7.8320704408914704E-013                  4.5151994192009592E+000                  4.9364961892732268E-001                  1.3455053487634725E+001                  4.9364961892732268E-001                  4.5151994192009592E+000                  7.3623815530917225E-001                  8.7000425680503612E-001                  1.2480945159693051E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396999E-004                                        0                                        0                                        3                  2.4250000000000001E-002                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  7.0000000000000000E+000                  3.0963359397610981E+007                  9.9999999999999193E+002                  4.2084342551831537E+002                  2.1280514986493181E+001                  1.9672812487869923E-002                  1.9836637518157264E+001                  3.3101018769783872E+002                 -9.9421336918853764E-001                 -9.9778196561229060E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.1462047653141305E+050                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     252                                      476                  1.4245842688195735E+008                  6.7694718206125275E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999989893490937E-001                  2.1629215375433141E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999989893490937E-001                  2.1629215375433141E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1398126488682465E+001                 -9.8999999999999986E+001                 -3.7327719462333661E+001                 -2.1398126488682465E+001                 -2.1398126488682465E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4326526026517961E+000                 -7.1995224115982426E+000                 -9.4180757465008658E-001                  3.2873888215557745E+000                 -7.0760337561833474E-013                  4.5082696054704359E+000                  4.9647247814411344E-001                  1.3458077397149806E+001                  4.9647247814411344E-001                  4.5082696054704359E+000                  7.3582503640417307E-001                  8.7000425680503612E-001                  1.2480945159693051E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396999E-004                                        0                                        0                                        3                  3.0733333333333335E-002                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  9.0000000000000000E+000                  4.2458426881957360E+007                  9.9999999999999193E+002                  4.2084342551831537E+002                  2.1280514986493181E+001                  1.9672812487869923E-002                  1.9836637518157264E+001                  3.3101018769783872E+002                 -9.9423599474654456E-001                 -9.9778144897430288E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.1462047653141305E+050                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     254                                      476                  1.5504901188544148E+008                  6.8086572756818455E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999989893490937E-001                  2.3603392001041732E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999989893490937E-001                  2.3603392001041732E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1393745429181610E+001                 -9.8999999999999986E+001                 -3.7327719462333661E+001                 -2.1393745429181610E+001                 -2.1393745429181610E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4216422688612305E+000                 -7.2469015748278807E+000                 -9.4347648868377532E-001                  3.2907266496231520E+000                 -6.3889032847088055E-013                  4.5012716452370221E+000                  4.9923045119479847E-001                  1.3461056047427757E+001                  4.9923045119479847E-001                  4.5012716452370221E+000                  7.3537615921345822E-001                  8.7000425680503612E-001                  1.2480945159693051E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396999E-004                                        0                                        0                                        3                  3.7833333333333337E-002                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  1.1000000000000000E+001                  5.5049011885441482E+007                  9.9999999999999193E+002                  4.2084342551831537E+002                  2.1280514986493181E+001                  1.9672812487869923E-002                  1.9836637518157264E+001                  3.3101018769783872E+002                 -9.9425810225671463E-001                 -9.9778076725514009E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.1462047653141305E+050                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     256                                      476                  1.6882757942064664E+008                  6.8479110106985317E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999989893490937E-001                  2.5849175242341081E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999989893490937E-001                  2.5849175242341081E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1389430120474362E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1389430120474362E+001                 -2.1389430120474362E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4105532109648284E+000                 -7.2945276671079311E+000                 -9.4511141903099560E-001                  3.2939965103175926E+000                 -5.7678458606122516E-013                  4.4942319549094014E+000                  5.0192656434077509E-001                  1.3463986681791162E+001                  5.0192656434077509E-001                  4.4942319549094014E+000                  7.3499206158095798E-001                  8.7000425680503612E-001                  1.2480945159693051E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396999E-004                                        0                                        0                                        3                  4.4333333333333336E-002                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  1.3000000000000000E+001                  6.8827579420646667E+007                  9.9999999999999193E+002                  4.2084342551831537E+002                  2.1280514986493181E+001                  1.9672812487869923E-002                  1.9836637518157264E+001                  3.3101018769783872E+002                 -9.9427967737518308E-001                 -9.9777997428550291E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.1462047653141305E+050                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     258                                      476                  1.8391715234247673E+008                  6.8873907326953123E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999989893490937E-001                  2.8337795244683236E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999989893490937E-001                  2.8337795244683236E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1385179782683071E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1385179782683071E+001                 -2.1385179782683071E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3993108449209326E+000                 -7.3427000724845772E+000                 -9.4671288963152744E-001                  3.2971994515186562E+000                 -5.2012408022074613E-013                  4.4871558162790661E+000                  5.0456906646045674E-001                  1.3466869855622340E+001                  5.0456906646045674E-001                  4.4871558162790661E+000                  7.3466182916483591E-001                  8.7000425680503612E-001                  1.2480945159693051E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396999E-004                                        0                                        0                                        3                  5.0250000000000003E-002                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  1.5000000000000000E+001                  8.3917152342476740E+007                  9.9999999999999193E+002                  4.2084342551831537E+002                  2.1280514986493181E+001                  1.9672812487869923E-002                  1.9836637518157264E+001                  3.3101018769783872E+002                 -9.9430073234840599E-001                 -9.9777910502719591E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.1462047653141305E+050                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                     260                                      476                  2.0042942150428763E+008                  6.9263851616053413E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999989893490937E-001                  3.1109123905125112E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999989893490937E-001                  3.1109123905125112E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1381006388918092E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1381006388918092E+001                 -2.1381006388918092E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3878497667821521E+000                 -7.3916732012789605E+000                 -9.4827729775115777E-001                  3.3003282677579167E+000                 -4.6843643386139842E-013                  4.4800673097931423E+000                  5.0715035597371771E-001                  1.3469698185855087E+001                  5.0715035597371771E-001                  4.4800673097931423E+000                  7.3426065258884488E-001                  8.7000425680503612E-001                  1.2480945159693051E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396999E-004                                        0                                        0                                        3                  5.6333333333333332E-002                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  1.7000000000000000E+001                  1.0042942150428760E+008                  9.9999999999999193E+002                  4.2084342551831537E+002                  2.1280514986493181E+001                  1.9672812487869923E-002                  1.9836637518157264E+001                  3.3101018769783872E+002                 -9.9432122522070687E-001                 -9.9777817722927475E-001                  9.2445189885471881E-004                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.1462047653141305E+050                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
