                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                     103                                      432                  2.1206913522652462E+003                  2.0816761532951031E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999958043365267E-001                  2.0034654184396864E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999958043365267E-001                  2.0034654184396864E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1918479055347493E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1918479055347493E+001                 -2.1918479055347493E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1306175743452238E+000                 -3.9811240895102862E+000                 -7.2853835699296421E-001                  2.8608503862415295E+000                 -1.7137272513708843E-009                  4.8151799716716273E+000                  1.7297890322111681E-001                  1.3083493789169029E+001                  1.7297890322111681E-001                  4.8151799716716273E+000                  8.7715954040053778E-001                  8.7000425680503612E-001                  1.2480945159693049E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  6.2853890515249234E-004                  2.0382876193397002E-004                                        0                                        0                                        3 
                                     104                                      432                  2.2655209749835412E+003                  2.1608573993427278E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999958043365267E-001                  2.0051536220648097E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999958043365267E-001                  2.0051536220648097E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1918327025494424E+001                 -9.8999999999999986E+001                 -3.7628749457997642E+001                 -2.1918327025494424E+001                 -2.1918327025494424E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1305490698457308E+000                 -3.9815333952059349E+000                 -7.2860600084180172E-001                  2.8609856739392048E+000                 -1.7115776054147634E-009                  4.8151535515017168E+000                  1.7306831983464055E-001                  1.3083603469669585E+001                  1.7306831983464055E-001                  4.8151535515017168E+000                  8.7711987082444021E-001                  8.7000425680503612E-001                  1.2480945159693049E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059871E-003                  9.3604492797742141E-003                  3.4416073257059880E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396997E-004                                        0                                        0                                        2 
                                     106                                      432                  2.6478711789598410E+003                  2.3192198914379776E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999958043365267E-001                  2.0096590945892374E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999958043365267E-001                  2.0096590945892374E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1917926572072407E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1917926572072407E+001                 -2.1917926572072407E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1303682637364427E+000                 -3.9826129581215124E+000                 -7.2878417008101504E-001                  2.8613420124176314E+000                 -1.7059594189097041E-009                  4.8150838747692921E+000                  1.7330386283847529E-001                  1.3083892384963807E+001                  1.7330386283847529E-001                  4.8150838747692921E+000                  8.7701529266841116E-001                  8.7000425680503624E-001                  1.2480945159693051E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  3.4416073257059888E-003                  9.3604492797742141E-003                  6.2853890515249212E-004                  2.0382876193396997E-004                                        0                                        0                                        2 
                                     108                                      432                  3.1984554726857123E+003                  2.4775823835332269E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999958043365267E-001                  2.0161597279231102E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999958043365267E-001                  2.0161597279231102E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1917352215083223E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1917352215083223E+001                 -2.1917352215083223E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1301080301515434E+000                 -3.9841649351433976E+000                 -7.2903969142215885E-001                  2.8618530550999188E+000                 -1.6979565531504701E-009                  4.8149837249202010E+000                  1.7364173384855200E-001                  1.3084306796767111E+001                  1.7364173384855200E-001                  4.8149837249202010E+000                  8.7686507977790495E-001                  8.7000425680503612E-001                  1.2480945159693049E+000                  7.4000000000000032E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396997E-004                                        0                                        0                                        2 
                                     110                                      433                  3.9912968556509672E+003                  2.6359448756284767E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999958043365267E-001                  2.0255133952046557E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999958043365267E-001                  2.0255133952046557E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1916529865836520E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1916529865836520E+001                 -2.1916529865836520E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1297335837739344E+000                 -3.9863943242826649E+000                 -7.2940549323657511E-001                  2.8625846587287511E+000                 -1.6864943126028615E-009                  4.8148398912655965E+000                  1.7412556995592327E-001                  1.3084900202868475E+001                  1.7412556995592327E-001                  4.8148398912655965E+000                  8.7664955595943839E-001                  8.7000425680503612E-001                  1.2480945159693049E+000                  7.4000000000000010E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396997E-004                                        0                                        0                                        3 
                                     112                                      433                  5.1329884471209343E+003                  2.7943073677237265E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999958043365267E-001                  2.0390123824837950E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999958043365267E-001                  2.0390123824837950E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1915355374112330E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1915355374112330E+001                 -2.1915355374112330E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1291949867269837E+000                 -3.9895934081948887E+000                 -7.2992784109878506E-001                  2.8636293544531712E+000                 -1.6701958722091511E-009                  4.8146335619279528E+000                  1.7481675756429685E-001                  1.3085747841313637E+001                  1.7481675756429685E-001                  4.8146335619279528E+000                  8.7634081212961601E-001                  8.7000425680503612E-001                  1.2480945159693049E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396997E-004                                        0                                        0                                        2 
                                     114                                      434                  6.7770243388376875E+003                  2.9526698598189758E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999958043365256E-001                  2.0585011381753931E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999958043365256E-001                  2.0585011381753931E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1913683890797891E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1913683890797891E+001                 -2.1913683890797891E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1284207101826120E+000                 -3.9941768621858840E+000                 -7.3067101500553922E-001                  2.8651157022666798E+000                 -1.6471379706822147E-009                  4.8143380839143619E+000                  1.7580075915342805E-001                  1.3086954418942417E+001                  1.7580075915342805E-001                  4.8143380839143619E+000                  8.7589952353950407E-001                  8.7000425680503612E-001                  1.2480945159693051E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396997E-004                                        0                                        0                                        2 
                                     116                                      434                  9.1444360229098111E+003                  3.1110323519142256E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999958043365256E-001                  2.0866680760522385E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999958043365256E-001                  2.0866680760522385E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1911315293986700E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1911315293986700E+001                 -2.1911315293986700E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1273090387402780E+000                 -4.0007273134558803E+000                 -7.3172289775586963E-001                  2.8672194677673404E+000                 -1.6147599987909849E-009                  4.8139159730130885E+000                  1.7719477771353764E-001                  1.3088663451926033E+001                  1.7719477771353764E-001                  4.8139159730130885E+000                  8.7527080656265677E-001                  8.7000425680503612E-001                  1.2480945159693049E+000                  7.4000000000000021E-001                  2.3997445916978469E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742141E-003                  6.2853890515249212E-004                  2.0382876193396997E-004                                        0                                        0                                        5 
                                     118                                      434                  1.2553508847973666E+004                  3.2693948440094753E+000                  9.2445189885471881E-004                  3.0227778895540308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999953894015969E-001                  2.1272114833899153E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999953894015969E-001                  2.1272114833899153E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1907982615805750E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1907982615805750E+001                 -2.1907982615805750E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1257447029578183E+000                 -4.0099408730736865E+000                 -7.3320100599985361E-001                  2.8701756842553081E+000                 -1.5700442532147154E-009                  4.8133149702284728E+000                  1.7915643229764353E-001                  1.3091067798259013E+001                  1.7915643229764353E-001                  4.8133149702284728E+000                  8.7437893758478591E-001                  8.7000425680503612E-001                  1.2480945159693049E+000                  7.4000000000000021E-001                  2.3997445916978472E-001                  3.4416073257059875E-003                  9.3604492797742141E-003                  3.4416073257059888E-003                  9.3604492797742158E-003                  6.2853890515249212E-004                  2.0382876193396997E-004                                        0                                        0                                        3 
