                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    1700                                      433                  1.0000000000000000E+000                  2.0000000000000000E-002                  2.6534776873640828E-003                  6.6604948338040122E-007                  1.3802680018717890E+003                  1.3491574166675147E-004                  2.0340578899415704E-001                  4.6060869562994888E+000                  7.4000000000000021E-001                  2.5540830215261673E-005                  2.3997445916978466E-001                  3.4416073257059880E-003                  1.0081585205319675E-003                  9.3604492797742141E-003                  2.0994604783340924E-003                  9.2445189885471881E-004                  0.0000000000000000E+000                  6.8409440515249207E-004                  2.3611268990824653E-008                  2.2184484445614164E-004                  3.1816004273612114E-006                  9.3199405865234123E-007                  8.6532851108205541E-006                  1.9408502257663866E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.2445047840281622E-004                  2.0121184995645838E-001                  9.2444718512182315E-004                  1.9924322877975617E-001                  3.0209001828279062E+004                  7.3100818986033066E+005                  6.8520684646137177E+010                  1.0444616817946016E-022                  1.0444616817946016E-022                  0.0000000000000000E+000                  4.1812387284380516E-024                  5.0000000000000000E+001                  1.0000000000000000E+003                  8.3738846837033183E+004 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  9.2445189885471881E-004                 -6.9163669107678749E-001                  3.1399634892449027E+000                 -5.4513704605768210E+000                  5.2440745432548628E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                       2                  9.2445189885379442E-004                 -6.9163669741004896E-001                  3.1399637314246491E+000                 -5.4513687653442329E+000                  5.2440764806878759E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002 
                                       3                  9.2445189885148322E-004                 -6.9163671324314269E-001                  3.1399640773956112E+000                 -5.4513663435978827E+000                  5.2440792484347343E+000                  7.4000000000000010E-001                  2.4000000000000002E-001                  1.9999999999999907E-002 
                                       4                  9.2445189884917214E-004                 -6.9163672907614993E-001                  3.1399645963517324E+000                 -5.4513627110105052E+000                  5.2440834000225545E+000                  7.4000000000000010E-001                  2.4000000000000002E-001                  1.9999999999999907E-002 
                                       5                  9.2445189884454975E-004                 -6.9163676074190827E-001                  3.1399658072478465E+000                 -5.4513542351233104E+000                  5.2440930869092934E+000                  7.4000000000000010E-001                  2.4000000000000002E-001                  1.9999999999999907E-002 
                                       6                  9.2445189883299422E-004                 -6.9163683990478586E-001                  3.1399675370968261E+000                 -5.4513421270751667E+000                  5.2441069249542123E+000                  7.4000000000000010E-001                  2.4000000000000002E-001                  1.9999999999999907E-002 
                                       7                  9.2445189882143857E-004                 -6.9163691906550184E-001                  3.1399701318622437E+000                 -5.4513239658065444E+000                  5.2441276812100242E+000                  7.4000000000000010E-001                  2.4000000000000002E-001                  1.9999999999999907E-002 
                                       8                  9.2445189879832728E-004                 -6.9163707738044111E-001                  3.1399753213660322E+000                 -5.4512876461577964E+000                  5.2441691908063932E+000                  7.4000000000000010E-001                  2.4000000000000002E-001                  1.9999999999999907E-002 
                                       9                  9.2445189875210471E-004                 -6.9163739398436630E-001                  3.1399831055637857E+000                 -5.4512331738839892E+000                  5.2442314479444310E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002 
                                      10                  9.2445189869432649E-004                 -6.9163778969060929E-001                  3.1399917545897056E+000                 -5.4511726592672272E+000                  5.2443006123286651E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002 
                                      11                  9.2445189863654806E-004                 -6.9163818534280208E-001                  3.1400047279268839E+000                 -5.4510819074130241E+000                  5.2444043386343893E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002 
                                      12                  9.2445189852099173E-004                 -6.9163897648509420E-001                  3.1400306739227020E+000                 -5.4509004758145929E+000                  5.2446117184645820E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002 
                                      13                  9.2445189828987864E-004                 -6.9164055812175551E-001                  3.1400825631929807E+000                 -5.4505379007321562E+000                  5.2450261873182509E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002 
                                      14                  9.2445189782765268E-004                 -6.9164371880706377E-001                  3.1401603912181244E+000                 -5.4499947549478538E+000                  5.2456471679520273E+000                  7.4000000000000010E-001                  2.4000000000000002E-001                  1.9999999999999907E-002 
                                      15                  9.2445189724987028E-004                 -6.9164766482254991E-001                  3.1402468583359133E+000                 -5.4493922660361633E+000                  5.2463361316669568E+000                  7.4000000000000010E-001                  2.4000000000000002E-001                  1.9999999999999907E-002 
                                      16                  9.2445189667208767E-004                 -6.9165160547493287E-001                  3.1403765384200768E+000                 -5.4484905198842881E+000                  5.2473675696345889E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      17                  9.2445189551652277E-004                 -6.9165947075306355E-001                  3.1406358282260651E+000                 -5.4466941293480655E+000                  5.2494232741769800E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      18                  9.2445189320539307E-004                 -6.9167513765004818E-001                  3.1409814247562347E+000                 -5.4443134775554540E+000                  5.2521495563116503E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      19                  9.2445189089426338E-004                 -6.9169072058331482E-001                  3.1415649363266027E+000                 -5.4403283844703560E+000                  5.2567182221591020E+000                  7.4000000000000010E-001                  2.4000000000000002E-001                  1.9999999999999907E-002 
                                      20                  9.2445188539524352E-004                 -6.9172746603330726E-001                  3.1424851971048939E+000                 -5.4341300465620836E+000                  5.2638369280989687E+000                  7.4000000000000010E-001                  2.4000000000000002E-001                  1.9999999999999907E-002 
                                      21                  9.2445187856405047E-004                 -6.9177247915611439E-001                  3.1437343029948717E+000                 -5.4258793948207380E+000                  5.2733368531830944E+000                  7.4000000000000010E-001                  2.4000000000000002E-001                  1.9999999999999907E-002 
                                      22                  9.2445186862950195E-004                 -6.9183673371732224E-001                  3.1459591270010123E+000                 -5.4116216752756667E+000                  5.2898197614770055E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      23                  9.2445184860774567E-004                 -6.9196213002416374E-001                  3.1489946485901776E+000                 -5.3930051946439104E+000                  5.3114724131850286E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      24                  9.2445182755705225E-004                 -6.9208854840481193E-001                  3.1521663662969504E+000                 -5.3744952898598912E+000                  5.3331549283566231E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      25                  9.2445180542490393E-004                 -6.9221602731163023E-001                  3.1554806414337451E+000                 -5.3560999460680687E+000                  5.3548657511566802E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      26                  9.2445178215612499E-004                 -6.9234460840057210E-001                  3.1589463522866170E+000                 -5.3378296088824735E+000                  5.3766034001404046E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      27                  9.2445175769274846E-004                 -6.9247433738884112E-001                  3.1625748504378830E+000                 -5.3196971414470662E+000                  5.3983664662925097E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      28                  9.2445173197387655E-004                 -6.9260526494636687E-001                  3.1663795017030711E+000                 -5.3017173288768502E+000                  5.4201536113704103E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      29                  9.2445170493553254E-004                 -6.9273744748450694E-001                  3.1703748295071943E+000                 -5.2839060189353528E+000                  5.4419635656450858E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      30                  9.2445167651051012E-004                 -6.9287094772037494E-001                  3.1745759777352784E+000                 -5.2662796022034319E+000                  5.4637951257043174E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      31                  9.2445164662820982E-004                 -6.9300583512710090E-001                  3.1789991846532422E+000                 -5.2488554898644777E+000                  5.4856471529138258E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      32                  9.2445161521447167E-004                 -6.9314218657188609E-001                  3.1836628160550906E+000                 -5.2316531519782439E+000                  5.5075185719989843E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      33                  9.2445158219139716E-004                 -6.9328008733509494E-001                  3.1885877965224640E+000                 -5.2146945528710349E+000                  5.5294083707494446E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      34                  9.2445154747716025E-004                 -6.9341963235993354E-001                  3.1937979736949043E+000                 -5.1980045300121835E+000                  5.5513155997861139E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      35                  9.2445151098581211E-004                 -6.9356092771281708E-001                  3.1993236465631831E+000                 -5.1816143182769610E+000                  5.5732393724401197E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      36                  9.2445147262707394E-004                 -6.9370409334156491E-001                  3.2052065956765392E+000                 -5.1655666441235706E+000                  5.5951788653312260E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      37                  9.2445143230611958E-004                 -6.9384926775831723E-001                  3.2111068911248117E+000                 -5.1495222868912629E+000                  5.6171333194400415E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      38                  9.2445138992334900E-004                 -6.9399647963580668E-001                  3.2170089930710883E+000                 -5.1334670187289282E+000                  5.6391020160933047E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      39                  9.2445134537414819E-004                 -6.9414575319345395E-001                  3.2229064230379865E+000                 -5.1173956306413988E+000                  5.6610842748871661E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      40                  9.2445129854863857E-004                 -6.9429711107485448E-001                  3.2287931698603729E+000                 -5.1013027471876633E+000                  5.6830794525713841E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      41                  9.2445124933140976E-004                 -6.9445057419739720E-001                  3.2346636426867525E+000                 -5.0851827938998024E+000                  5.7050869412582896E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      42                  9.2445119760124642E-004                 -6.9460616156903054E-001                  3.2405129072791716E+000                 -5.0690308369535417E+000                  5.7271061642577523E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
                                      43                  9.2445114323084718E-004                 -6.9476389038177522E-001                  3.2463367258280291E+000                 -5.0528427641862619E+000                  5.7491365695132144E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002 
