                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     300                                      625                  1.0000000000000000E+000                  2.0000000000000000E-002                  3.3357250792969222E+004                  5.1210206330964422E+002                  4.3437735844037425E+003                  1.9188297213863812E+001                  7.7453793797200428E+000                 -6.2110176519250144E+000                  7.0000000000000007E-001                  2.9797635251138740E-005                  2.7997020236474895E-001                  3.4416073257059841E-003                  1.0081585205319677E-003                  9.3604492797742123E-003                  2.0994604783340920E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000073E-001                  2.9797635251138750E-005                  2.7997020236474895E-001                  3.4416073257059849E-003                  1.0081585205319672E-003                  9.3604492797742123E-003                  2.0994604783340929E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999991299018520E-001                  7.7318606214859109E+000                  9.9999987375227650E-001                  7.7273075914288682E+000                  2.1582294479546475E+005                  1.5794300887357959E+005                  5.2115098533990085E+008                  1.0279039701886732E-012                  1.0279039701886732E-012                  0.0000000000000000E+000                  4.1123278762135972E-014                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.0526931235784257E+012 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.0000000000000000E+000                  8.8904269497885846E-001                  3.6378680201610565E+000                 -7.5382071057281443E+000                  3.9052878872699046E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       2                  9.9999999999900002E-001                  8.8904267982435670E-001                  3.6378699106965753E+000                 -7.5381937176389515E+000                  3.9053030101700785E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       3                  9.9999999999775002E-001                  8.8904266088181150E-001                  3.6378720113490162E+000                 -7.5381788426195726E+000                  3.9053198127778241E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       4                  9.9999999999650002E-001                  8.8904264193991278E-001                  3.6378751624092325E+000                 -7.5381565313131533E+000                  3.9053450154749969E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       5                  9.9999999999400013E-001                  8.8904260405805180E-001                  3.6378814648634896E+000                 -7.5381119131408774E+000                  3.9053954164997058E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       6                  9.9999999998899991E-001                  8.8904252830208597E-001                  3.6378961721122125E+000                 -7.5380078268886184E+000                  3.9055129962309274E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       7                  9.9999999997650002E-001                  8.8904233895738471E-001                  3.6379171883089980E+000                 -7.5378591897367686E+000                  3.9056809123666203E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       8                  9.9999999996400002E-001                  8.8904214967722694E-001                  3.6379487207534416E+000                 -7.5376363561332065E+000                  3.9059326653404494E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       9                  9.9999999993900002E-001                  8.8904177131035711E-001                  3.6380118189860378E+000                 -7.5371911321122438E+000                  3.9064357356522432E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
